name,category,fest_tag
Bailley,Water,All
Bisleri,Water,All
Bringi Water,Water,All
Jal Natural Mineral,Water,All
Vedic Jal,Water,All
Iota Water,Water,All
HP Paani (HPCL),Water,All
Amrit Water,Water,All
Sky Mountain Beverages,Water,All
Campa,Soft Drinks & Sodas,All
Sprite,Soft Drinks & Sodas,All
Bisleri Limonata,Soft Drinks & Sodas,All
Schweppes,Soft Drinks & Sodas,All
Pulse,Soft Drinks & Sodas,All
O'CEAN Beverages,Juices & Fruit Drinks,All
Real Fruit Power,Juices & Fruit Drinks,All
Maaza,Juices & Fruit Drinks,All
Paper Boat,Juices & Fruit Drinks,All
Hector Beverages,Juices & Fruit Drinks,All
B Natural,Juices & Fruit Drinks,All
Storia,Juices & Fruit Drinks,All
Monster Energy,Energy Drinks,All
Carabao,Energy Drinks,All
Cnergy Club,Energy Drinks,All
Cloud9 Energy,Energy Drinks,All
Raze X,Energy Drinks,All
Hurricane Energy,Energy Drinks,All
Bounce Drink,Energy Drinks,All
Roket India,Energy Drinks,All
Stroom,Energy Drinks,All
Society Tea,Tea & Coffee,All
Nescafe,Tea & Coffee,All
Cold Brew,Tea & Coffee,All
Coffee Bits,Tea & Coffee,All
Sweet Karam Coffee,Tea & Coffee,All
Dorje Teas,Tea & Coffee,All
Just Cold Coffee,Tea & Coffee,All
Kothas Coffee,Tea & Coffee,All
Boost India,Tea & Coffee,All
Spinky Sips,Healthy / Functional Drinks,All
The Good Vibe,Healthy / Functional Drinks,All
Sbooch (Kombucha),Healthy / Functional Drinks,All
Borecha Fizz,Healthy / Functional Drinks,All
Cocohigh,Healthy / Functional Drinks,All
Drinkjust,Healthy / Functional Drinks,All
Pursue Drinks,Healthy / Functional Drinks,All
Gina Drinks,Healthy / Functional Drinks,All
Frizzer Beverages,Healthy / Functional Drinks,All
London Bubble Co,Healthy / Functional Drinks,All
Bubble Burst,Healthy / Functional Drinks,All
Jimmy's Cocktails,Healthy / Functional Drinks,All
Sober Monkey,Healthy / Functional Drinks,All
Balaji Wafers,Chips & Wafers,All
Bingo,Chips & Wafers,All
Frito Lay,Chips & Wafers,All
Yellow Diamond,Chips & Wafers,All
Cornitos,Chips & Wafers,All
Kettle Studio,Chips & Wafers,All
Red Rock Deli,Chips & Wafers,All
Uncle Chips,Chips & Wafers,All
Chacha Chaudhary Chips,Chips & Wafers,All
Kutralamsun Chips,Chips & Wafers,All
Mota Chips,Chips & Wafers,All
Raj Potato Chips,Chips & Wafers,All
A1 Chips,Chips & Wafers,All
Brochips,Chips & Wafers,All
Troovy Chips,Chips & Wafers,All
Budhani Bros,Chips & Wafers,All
Kozhikoden's Chips,Chips & Wafers,All
Looms & Weaves Kerala Banana Chips,Chips & Wafers,All
Flavours of Kerala,Chips & Wafers,All
Naik Kokan,Chips & Wafers,All
Fryo Potato Chips (AUEVSS),Chips & Wafers,All
Titos Chips (Mahajan),Chips & Wafers,All
Poco Loco,Chips & Wafers,All
Omkar Snacks,Namkeen & Traditional Snacks,All
Chheda,Namkeen & Traditional Snacks,All
Lahejjat Lemor Foods,Namkeen & Traditional Snacks,All
Bikano,Namkeen & Traditional Snacks,All
Bikaji Snacks,Namkeen & Traditional Snacks,All
Chitale Snacks,Namkeen & Traditional Snacks,All
Gopal Snacks,Namkeen & Traditional Snacks,All
Jagdish Farshan,Namkeen & Traditional Snacks,All
Jai Bhawani Wafers & Farsan,Namkeen & Traditional Snacks,All
Laxmi Farshan,Namkeen & Traditional Snacks,All
Somani Savoury Foods,Namkeen & Traditional Snacks,All
Ruchak Indian Snacks,Namkeen & Traditional Snacks,All
Kakaji Namkeen,Namkeen & Traditional Snacks,All
Anand Namkeen,Namkeen & Traditional Snacks,All
Majano Namkeen,Namkeen & Traditional Snacks,All
Haldiram-style Indian Snack House,Namkeen & Traditional Snacks,All
Dakshyn (South India),Namkeen & Traditional Snacks,All
Desi Dabba Store,Namkeen & Traditional Snacks,All
Kerala Thingz,Namkeen & Traditional Snacks,All
Act II,Popcorn,All
Popcorn & Company,Popcorn,All
Pik and Pop,Popcorn,All
4700 BC,Popcorn,All
Pop Fresh,Popcorn,All
Pop Bite,Popcorn,All
Popsies,Popcorn,All
The Theatre Project,Popcorn,All
Farmley,Healthy Snacking,Spree
Happilo,Healthy Snacking,Spree
Hindustan Dryfruit,Healthy Snacking,Spree
Too Yumm!,Healthy Snacking,Spree
Troovy The Healthy,Healthy Snacking,Spree
The Healthy Binge,Healthy Snacking,Spree
The Healthy Affair,Healthy Snacking,Spree
Natch,Healthy Snacking,Spree
Snackible,Healthy Snacking,Spree
Evolve Snacks,Healthy Snacking,Spree
Eat Better,Healthy Snacking,Spree
Snaqary,Healthy Snacking,Spree
Snack Amor,Healthy Snacking,Spree
The Green Snack Co.,Healthy Snacking,Spree
Repeat Gud,Healthy Snacking,Spree
Beyond Snacks,Healthy Snacking,Spree
Supreem Soya Chips,Healthy Snacking,Spree
Tru Millets,Healthy Snacking,Spree
Me and Millets,Healthy Snacking,Spree
Munchilicious,Healthy Snacking,Spree
Dr Snacker,Healthy Snacking,Spree
Crunchique,Healthy Snacking,Spree
Tagz,Healthy Snacking,Spree
Fab Box,Healthy Snacking,Spree
OpenSecret,Healthy Snacking,Spree
Pintola,Healthy Snacking,Spree
Sattviko,Healthy Snacking,Spree
Rooted Delight,Healthy Snacking,Spree
Healthy Master,Healthy Snacking,Spree
Nutri Spoon,Healthy Snacking,Spree
Nutri Barn,Healthy Snacking,Spree
Mama Nourish,Healthy Snacking,Spree
Habit Wellness,Healthy Snacking,Spree
Artinci Sugar-Free,Healthy Snacking,Spree
Sugar.fit,Healthy Snacking,Spree
Keto Lab,Healthy Snacking,Spree
Bitozz,Healthy Snacking,Spree
Gnack,Healthy Snacking,Spree
Saffola,Healthy Snacking,Spree
Oatey,Healthy Snacking,Spree
But Not Meat,Healthy Snacking,Spree
Phalada Pure & Sure,Healthy Snacking,Spree
Yumigoes,Healthy Snacking,Spree
Fun Flips,Healthy Snacking,Spree
House of Makhana,Makhana,Spree
Mr Makhana,Makhana,Spree
MakhanaWala,Makhana,Spree
Indian Foxnut,Makhana,Spree
Mithila Natural,Makhana,Spree
Max Protein,Protein & Nutrition,Spree
MuscleBlaze,Protein & Nutrition,Spree
Nutrabay,Protein & Nutrition,Spree
SuperYou,Protein & Nutrition,Spree
Total Nutrition,Protein & Nutrition,Spree
Big Muscle Nutrition,Protein & Nutrition,Spree
Dyet Nutrition,Protein & Nutrition,Spree
Gritfit,Protein & Nutrition,Spree
NRICH / Nutrich,Protein & Nutrition,Spree
Parle,Cookies & Biscuits,All
Sunfeast,Cookies & Biscuits,All
UNIBIC,Cookies & Biscuits,All
Sunfeast Farmlite,Cookies & Biscuits,All
Loacker,Cookies & Biscuits,All
Sobisco,Cookies & Biscuits,All
Sunder Biscuits,Cookies & Biscuits,All
